processo,data_movimento_incompetencia,classe_codigo,classe_nome,data_ajuizamento,orgao_julgador_codigo,orgao_julgador_nome,ano_ajuizamento,mes_ajuizamento,municipio_nome,status_arquivamento_definitivo
00043330220248160044,2025-02-06T17:08:43Z,114,Impugnação de Crédito,2024-04-17T15:32:03Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-04-01T00:00:00Z,Curitiba,FALSE
00043872420248160090,2024-12-13T09:44:43Z,129,Recuperação Judicial,2024-08-08T10:16:06Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-08-01T00:00:00Z,Curitiba,FALSE
00044706820258160037,2025-09-26T11:31:33Z,129,Recuperação Judicial,2025-09-24T18:30:55Z,13951,CURITIBA - 24ª VARA CÍVEL,2025,2025-09-01T00:00:00Z,Curitiba,FALSE
00046758620258160170,2025-04-29T16:02:05Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-04-07T15:15:02Z,13752,CASCAVEL - 4ª VARA CÍVEL,2025,2025-04-01T00:00:00Z,Cascavel,TRUE
00046927920248160131,2024-07-04T13:26:25Z,114,Impugnação de Crédito,2024-04-19T15:40:58Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-04-01T00:00:00Z,Cascavel,TRUE
00047080320248160044,2025-01-27T13:08:22Z,111,Habilitação de Crédito,2024-04-26T10:28:56Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-04-01T00:00:00Z,Curitiba,FALSE
00049012820248160170,2025-01-31T15:32:14Z,111,Habilitação de Crédito,2024-04-19T10:47:21Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-04-01T00:00:00Z,Curitiba,TRUE
00049027220248160021,2024-02-20T11:18:00Z,111,Habilitação de Crédito,2024-02-08T19:16:14Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-02-01T00:00:00Z,Cascavel,TRUE
00049849520248160153,2025-01-24T20:16:23Z,129,Recuperação Judicial,2024-10-08T11:36:49Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-10-01T00:00:00Z,Curitiba,FALSE
00050104620258160028,2025-09-05T21:29:50Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-06-03T14:32:46Z,13951,CURITIBA - 24ª VARA CÍVEL,2025,2025-06-01T00:00:00Z,Curitiba,TRUE
00051037220248160083,2024-08-28T17:04:55Z,111,Habilitação de Crédito,2024-06-24T17:01:36Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-06-01T00:00:00Z,Cascavel,TRUE
00051246620248160174,2024-06-13T20:35:29Z,111,Habilitação de Crédito,2024-05-31T15:36:49Z,8816,PONTA GROSSA - 1ª VARA CÍVEL,2024,2024-05-01T00:00:00Z,Ponta Grossa,FALSE
00051709620248160031,2024-06-17T19:45:31Z,111,Habilitação de Crédito,2024-04-05T13:23:59Z,8816,PONTA GROSSA - 1ª VARA CÍVEL,2024,2024-04-01T00:00:00Z,Ponta Grossa,FALSE
00052785820248160021,2024-07-01T14:42:18Z,111,Habilitação de Crédito,2024-02-15T15:23:12Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-02-01T00:00:00Z,Cascavel,TRUE
00054814820248160044,2025-01-29T14:22:24Z,111,Habilitação de Crédito,2024-05-15T15:49:16Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-05-01T00:00:00Z,Curitiba,FALSE
00055091720258160097,2025-11-24T18:18:05Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-11-04T09:42:40Z,8809,MARINGÁ - 3ª VARA CÍVEL,2025,2025-11-01T00:00:00Z,Maringá,FALSE
00055126120248160014,2024-08-27T17:52:25Z,129,Recuperação Judicial,2024-02-01T11:11:43Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-02-01T00:00:00Z,Curitiba,FALSE
00055187620248160173,2024-10-21T17:18:51Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-04-29T18:25:49Z,8809,MARINGÁ - 3ª VARA CÍVEL,2024,2024-04-01T00:00:00Z,Maringá,FALSE
00056571120248160017,2024-08-19T16:22:03Z,111,Habilitação de Crédito,2024-03-08T20:02:36Z,8809,MARINGÁ - 3ª VARA CÍVEL,2024,2024-03-01T00:00:00Z,Maringá,TRUE
00057494520248160160,2024-08-25T10:21:31Z,111,Habilitação de Crédito,2024-06-24T17:40:59Z,26422,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-06-01T00:00:00Z,Curitiba,TRUE
00057643520248160153,2025-01-24T20:16:21Z,111,Habilitação de Crédito,2024-11-21T15:39:36Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-11-01T00:00:00Z,Londrina,TRUE
00058507720248160097,2025-01-10T12:37:44Z,129,Recuperação Judicial,2024-12-13T17:52:22Z,26422,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-12-01T00:00:00Z,Curitiba,FALSE
00058806520258160069,2025-07-16T17:53:17Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-06-11T14:48:02Z,8809,MARINGÁ - 3ª VARA CÍVEL,2025,2025-06-01T00:00:00Z,Maringá,FALSE
00060273320248160035,2024-04-06T22:23:07Z,111,Habilitação de Crédito,2024-04-06T21:04:40Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-04-01T00:00:00Z,Curitiba,TRUE
00060638820248160160,2024-08-25T10:21:40Z,111,Habilitação de Crédito,2024-07-09T11:44:40Z,8809,MARINGÁ - 3ª VARA CÍVEL,2024,2024-07-01T00:00:00Z,Maringá,TRUE
00061977520248160044,2025-02-18T18:52:00Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-05-29T18:19:57Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-05-01T00:00:00Z,Londrina,FALSE
00062819320248160103,2025-01-14T13:08:45Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-12-16T15:42:43Z,13951,CURITIBA - 24ª VARA CÍVEL,2024,2024-12-01T00:00:00Z,Curitiba,FALSE
00064469520248160021,2024-07-01T14:35:52Z,111,Habilitação de Crédito,2024-02-23T08:45:18Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-02-01T00:00:00Z,Cascavel,TRUE
00065055720258160083,2025-08-07T18:37:19Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-07-30T15:10:44Z,13752,CASCAVEL - 4ª VARA CÍVEL,2025,2025-07-01T00:00:00Z,Cascavel,FALSE
00065530820258160021,2025-07-08T17:59:31Z,129,Recuperação Judicial,2025-02-13T19:47:16Z,13951,CURITIBA - 24ª VARA CÍVEL,2025,2025-02-01T00:00:00Z,Curitiba,FALSE
00066666720258160083,2025-08-11T18:55:01Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-08-04T17:58:26Z,13752,CASCAVEL - 4ª VARA CÍVEL,2025,2025-08-01T00:00:00Z,Cascavel,FALSE
00068308920258160064,2025-11-20T21:15:32Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-11-02T19:04:38Z,8816,PONTA GROSSA - 1ª VARA CÍVEL,2025,2025-11-01T00:00:00Z,Ponta Grossa,FALSE
00068966620248160044,2025-01-27T13:08:30Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-06-14T16:48:53Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-06-01T00:00:00Z,Londrina,FALSE
00072205920258160064,2025-11-25T17:54:56Z,129,Recuperação Judicial,2025-11-18T20:04:47Z,13951,CURITIBA - 24ª VARA CÍVEL,2025,2025-11-01T00:00:00Z,Curitiba,FALSE
00072205920258160064,2025-12-23T13:43:06Z,129,Recuperação Judicial,2025-11-18T20:04:47Z,13951,CURITIBA - 24ª VARA CÍVEL,2025,2025-11-01T00:00:00Z,Curitiba,FALSE
00075306220248160044,2025-03-25T14:59:39Z,111,Habilitação de Crédito,2024-07-01T14:32:43Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-07-01T00:00:00Z,Londrina,TRUE
00076849020248160170,2024-07-08T10:29:49Z,111,Habilitação de Crédito,2024-06-17T12:03:55Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-06-01T00:00:00Z,Cascavel,TRUE
00077204720248160069,2024-09-04T19:20:00Z,111,Habilitação de Crédito,2024-07-17T11:02:19Z,26422,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-07-01T00:00:00Z,Curitiba,FALSE
00077204720248160069,2024-09-26T23:43:27Z,111,Habilitação de Crédito,2024-07-17T11:02:19Z,26422,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-07-01T00:00:00Z,Curitiba,FALSE
